station_id,station_name,municipality,latitude,longitude,wheelchair_accessible,location_type,vehicle_type
636,Washington St @ Cummins Hwy,Boston,42.28666,-71.127791,True,0,3.0
8993,Brookline Ave opp Newbury St,Boston,42.348062,-71.097773,True,0,3.0
782,Centre St @ Bellevue St,Boston,42.283608,-71.156948,True,0,3.0
852,Vermont St @ Temple St,Boston,42.285412,-71.168478,True,0,3.0
1853,Weld St opp Wedgewood Rd,Boston,42.294255,-71.136678,True,0,3.0
WML-0035-B0,Boston Landing - Guest St @ Arthur St,Boston,42.35658,-71.14208,True,0,3.0
node-374-lobby,State,Boston,,,True,3,
70176,Beaconsfield,Brookline,42.335625,-71.140112,True,0,0.0
30203,Congress St @ Sudbury St,Boston,42.362175,-71.058498,True,0,3.0
node-803-sbplatform,State,Boston,,,True,3,
place-bbsta,Back Bay,Boston,42.34735,-71.075727,True,1,
6462,Cummins Hwy @ Sherwood St,Boston,42.282871,-71.123861,True,0,3.0
2745,Cross St @ Pearl St,Somerville,42.385796,-71.087692,True,0,3.0
767,Centre St @ Linden Rd,Boston,42.266178,-71.16286,True,0,3.0
place-esomr,East Somerville,Somerville,42.379467,-71.086625,True,1,
door-kencl-beacon,"Boston University, Beacon St",Boston,42.349273,-71.095549,False,2,
6460,Cummins Hwy @ Rowe St,Boston,42.280681,-71.120534,True,0,3.0
1301,7 Winship St,Boston,42.348814,-71.150755,True,0,3.0
node-rugg-bus2stairs-busway,Ruggles,Boston,,,True,3,
node-butlr-ramp-platform,Butler,Boston,42.272359,-71.062462,True,3,
511,Washington St @ Gallivan Blvd,Boston,42.279234,-71.069699,True,0,3.0
node-coecl-976-platform,Copley,Boston,42.34977,-71.078123,True,3,
5104,Davis,Somerville,42.396646,-71.121879,True,0,3.0
2804,Metropolitan Ave @ Highfield Rd,Boston,42.277545,-71.127459,True,0,3.0
node-961-top,Alewife,Cambridge,42.39612,-71.139856,True,3,
6392,Beacon St @ Fairmount Ave,Boston,42.252485,-71.117976,False,0,3.0
node-901-rl,South Station,Boston,,,True,3,
289,W 6th St @ E St,Boston,42.335827,-71.051409,True,0,3.0
2615,Washington St opp Parker St,Somerville,42.379408,-71.100221,True,0,3.0
node-415-platform,Courthouse,Boston,,,True,3,
55600,Fields Corner Sta @ Geneva Ave,Boston,42.299024,-71.063789,True,0,3.0
10013,Albany St @ E Dedham St,Boston,42.337556,-71.067875,True,0,3.0
1061,Western Ave @ Kinnaird St,Cambridge,42.364952,-71.108901,True,0,3.0
node-427-platform,Fields Corner,Boston,42.299892,-71.062021,True,3,
node-982-lobby,Porter,Cambridge,42.388288,-71.118866,True,3,
node-721-lobby,Government Center,Boston,42.359606,-71.059409,True,3,
node-davis-farepaid,Davis,Somerville,,,True,3,
8341,Puritan Mall Service Rd,Boston,42.296877,-71.049066,True,0,3.0
node-bbsta-olestairs-lobby,Back Bay,Boston,,,True,3,
1924,Kilmarnock St @ Peterborough St,Boston,42.343165,-71.099663,True,0,3.0
8942,Reservation Rd @ River St,Boston,42.25236,-71.131005,True,0,3.0
node-spmnl-sfareunpaid,Science Park/West End,Boston,42.36677,-71.06786,True,3,
door-dwnxg-franklin,Franklin St,Boston,42.356064,-71.059326,True,2,
128,Massachusetts Ave opp Magazine St,Boston,42.327984,-71.067744,True,0,3.0
70078,Downtown Crossing,Boston,42.355518,-71.060225,True,0,1.0
1040,Market St @ Guest St,Boston,42.357313,-71.148285,True,0,3.0
2274,Massachusetts Ave @ Gladstone St,Cambridge,42.400762,-71.13535,True,0,3.0
477,Washington St @ Vassar St,Boston,42.300873,-71.076116,True,0,3.0
1508,Hancock St @ Bowdoin St,Boston,42.311094,-71.062621,True,0,3.0
2937,Boston St @ Mayhew St,Boston,42.321914,-71.061132,True,0,3.0
70150,Kenmore,Boston,42.348949,-71.095169,True,0,0.0
70202,Government Center,Boston,42.359705,-71.059215,True,0,0.0
node-pktrm-tremwfare-paid,Park Street,Boston,,,True,3,
42820,Neponset Valley Pkwy @ Westinghouse Plaza,Boston,42.243524,-71.131891,True,0,3.0
17401,Seaver St opp Elm Hill Ave,Boston,42.307515,-71.089263,True,0,3.0
2397,Pearl St @ Bradley St,Somerville,42.38791,-71.094908,True,0,3.0
node-pktrm-cpebstairs-rl,Park Street,Boston,,,True,3,
node-365-middle,Downtown Crossing,Boston,,,True,3,
252,W 7th St @ C St,Boston,42.337229,-71.055505,True,0,3.0
2026,Mt Auburn St @ Traill St,Cambridge,42.375072,-71.136647,True,0,3.0
41187,Washington St @ Green St,Boston,42.309302,-71.1048,True,0,3.0
6374,River St @ Reddy Ave,Boston,42.261657,-71.111146,True,0,3.0
node-symcl-hunwstair-platform,Symphony,Boston,,,True,3,
8279,Tremont St @ Boylston Station,Boston,42.353247,-71.064353,True,0,3.0
596,3867 Washington St opp Tollgate Way,Boston,42.296502,-71.117515,True,0,3.0
574,River St @ Cedar St,Boston,42.271399,-71.074869,True,0,3.0
node-tumnl-washsbstairs-lobby,Tufts Medical Center,Boston,,,True,3,
22365,105 S Huntington Ave,Boston,42.329368,-71.111046,True,0,3.0
node-dwnxg-stair1-rl,Downtown Crossing,Boston,,,True,3,
node-901-sl,South Station,Boston,,,True,3,
door-knncl-sbelevator,"Elevator, Buses, Main St, Third St, Carleton St",Cambridge,42.362125,-71.086145,True,2,
door-esomr-washington,Washington St,Somerville,42.379391,-71.086636,True,2,
node-spmnl-ibstairs-platform,Science Park/West End,Boston,42.366631,-71.067707,True,3,
1857,144 Walter St opp Mendum St,Boston,42.292587,-71.130541,True,0,3.0
door-chncl-ogessex,"Washington St, Essex St",Boston,42.352252,-71.062519,False,2,
11164,Centre St @ Burroughs St,Boston,42.311466,-71.1145,True,0,3.0
2433,Park St @ Beacon St,Somerville,42.38036,-71.108538,True,0,3.0
139,263 Mt Vernon St @ St Christopher's Church,Boston,42.31897,-71.045834,True,0,3.0
9070228,Fairbanks Street,Brookline,42.33944,-71.130957,True,0,3.0
2836,Warren St @ Church St,Boston,42.375093,-71.063606,True,0,3.0
1344,Humboldt Ave @ ML King Blvd,Boston,42.319441,-71.086094,True,0,3.0
2821,Main St @ Bunker Hill St,Boston,42.383307,-71.071852,True,0,3.0
634,Washington St @ Albano St,Boston,42.283304,-71.131416,True,0,3.0
door-armnl-elevator,"Elevator, Boylston St",Boston,42.351796,-71.07128,True,2,
259,E 8th St @ Old Harbor St,Boston,42.331193,-71.047219,True,0,3.0
BNT-0000-05,North Station,Boston,42.366618,-71.062601,True,0,2.0
70038,Bowdoin,Boston,42.361365,-71.062037,False,0,1.0
66460,Cummins Hwy @ Livermore St,Boston,42.27349,-71.108216,True,0,3.0
233,Commercial St @ Battery St,Boston,42.366409,-71.051526,True,0,3.0
1170,Washington St @ ML King Blvd,Boston,42.321749,-71.091752,True,0,3.0
960,Brighton Ave @ Malvern St,Boston,42.352354,-71.125623,False,0,3.0
node-765-bottom,Gilman Square,Somerville,42.387695,-71.096277,True,3,
151,W Broadway @ Broadway Station,Boston,42.342664,-71.056949,True,0,3.0
70235,Englewood Avenue,Brookline,42.336964,-71.145867,False,0,0.0
118,Causeway St @ Medford St,Boston,42.366283,-71.059491,True,0,3.0
6496,Hyde Park Ave @ Cummins Hwy,Boston,42.279888,-71.119028,True,0,3.0
12828,Chelsea St opp Constitution Rd,Boston,42.373833,-71.05831,True,0,3.0
2401,Medford St @ Central St,Somerville,42.392616,-71.100619,True,0,3.0
1409,Cambridge St @ Berkshire St,Cambridge,42.372212,-71.089618,True,0,3.0
node-841-lobby,Forest Hills,Boston,42.300838,-71.113793,True,3,
2073,Mt Auburn St @ Brewer St,Cambridge,42.373956,-71.124752,True,0,3.0
node-aport-buswaystairs-lobby,Airport,Boston,42.373982,-71.030138,True,3,
61391,Huntington Ave @ Forsyth Way,Boston,42.339219,-71.092168,True,0,3.0
node-bcnfd-stairs-platform,Beaconsfield,Brookline,42.336041,-71.141306,True,3,
1799,Ruggles St @ Huntington Ave,Boston,42.337523,-71.095101,True,0,3.0
6359,River St @ West St,Boston,42.258812,-71.117831,True,0,3.0
10768,Centre St @ Grove St,Boston,42.268863,-71.161907,True,0,3.0
place-bckhl,Back of the Hill,Boston,42.330139,-71.111313,False,1,
node-849-platform,Ruggles,Boston,42.336466,-71.08939,True,3,
1881,Weld St @ Church St,Boston,42.293151,-71.149288,True,0,3.0
2581,Holland St @ Dover St,Somerville,42.39693,-71.122971,True,0,3.0
node-pktrm-tremstairfare-unpaid,Park Street,Boston,,,True,3,
node-pktrm-tremontstairs-lobby,Park Street,Boston,,,True,3,
node-cntsq-360-platform,Central,Cambridge,,,True,3,
node-504-lobby,Porter,Cambridge,42.388313,-71.11895,True,3,
node-974-wbplatform,State,Boston,,,True,3,
8281,285 Tremont St,Boston,42.349606,-71.065439,True,0,3.0
8681,Adams St @ King St,Boston,42.293028,-71.057347,True,0,3.0
570,Dorchester Ave @ St Gregory St,Boston,42.275594,-71.067229,True,0,3.0
NB-0080-B2,West Roxbury - Centre St @ Lagrange St,Boston,42.280858,-71.158278,True,0,3.0
node-880-lobby,Andrew,Boston,,,True,3,
node-north-causewayoakgrove-stairs-bottom,North Station,Boston,42.365668,-71.06043,True,3,
node-447-bottom,North Station,Boston,,,True,3,
1116,Cambridge St @ Mass Pike Exit,Boston,42.360621,-71.118743,True,0,3.0
door-butlr-branchfield,"Branchfield St, Butler St",Boston,42.272469,-71.062579,True,2,
node-815-fifth,Alewife,Cambridge,42.395815,-71.141239,True,3,
8685,Adams St @ Helena Rd,Boston,42.286961,-71.054597,True,0,3.0
1395,Dartmouth St @ Appleton St,Boston,42.345156,-71.074969,True,0,3.0
door-alfcl-cambridgepark,"Cambridgepark Dr, Alewife Brook Pkwy",Cambridge,42.394893,-71.141516,True,2,
node-bbsta-olwstairs-lobby,Back Bay,Boston,,,True,3,
554,Geneva Ave @ Westville St,Boston,42.301075,-71.06761,True,0,3.0
70276,Mattapan,Boston,42.267559,-71.092233,True,0,0.0
2321,Massachusetts Ave @ Shea Rd,Cambridge,42.396361,-71.12889,True,0,3.0
11187,Washington St @ School St,Boston,42.314537,-71.099631,True,0,3.0
place-NB-0076,Highland,Boston,42.284969,-71.153937,True,1,
node-pktrm-ebupassstairs-under,Park Street,Boston,,,True,3,
2813,West St @ Myopia Rd,Boston,42.264047,-71.126829,True,0,3.0
2564,N Harvard St opp Harvard Stadium Gate 2,Boston,42.36708,-71.124824,True,0,3.0
node-asmnl-rdexstair-lobby,Ashmont,Boston,42.284302,-71.063774,True,3,
11972,Guest St opp New Balance Way,Boston,42.356714,-71.14318,True,0,3.0
9070237,Cleveland Circle,Brookline,42.336612,-71.148524,True,0,3.0
1064,Western Ave @ Putnam Ave,Cambridge,42.364492,-71.114114,True,0,3.0
node-444-platform,Government Center,Boston,,,True,3,
10422,Opp 684 American Legion Hwy,Boston,42.284762,-71.111695,True,0,3.0
4374,Washington St @ Lithgow St,Boston,42.289287,-71.071218,True,0,3.0
node-masta-unpramp-lobby,Massachusetts Avenue,Boston,42.341461,-71.083481,True,3,
2392,Cross St @ Alston St,Somerville,42.382591,-71.090089,True,0,3.0
52370,Green Street Station - Shuttle,Boston,42.310576,-71.106791,True,0,3.0
door-rsmnl-wstairs,"Chestnut Hill Ave, Buses (Riverside)",Brookline,42.335157,-71.148775,False,2,
door-cntsq-essex,Essex St,Cambridge,42.364991,-71.102811,False,2,
