BLDG_ID,BLDG_NAME,ADDRESS,CITY,ZIPCODE,CSP_SCH_ID,SCH_ID,SCH_NAME,SCH_LABEL,SCH_TYPE,SHARED,COMPLEX,shape_wkt,POINT_X,POINT_Y,source_file,cleaned_date
139.0,Taft Bldg,20 Warren Street,Brighton,2135,1230.0,1230.0,Another Course to College,ACC,HS,Shared,,POINT (-71.145286044999978 42.35056411000005),-71.14528604499998,42.35056411000005,public_schools.csv,2025-11-30 19:58:12
140.0,Brighton High School Bldg,25 Warren Street,Brighton,2135,1040.0,1040.0,Brighton High,Brighton HS,HS,,,POINT (-71.145489998999949 42.349080000000072),-71.14548999899995,42.34908000000007,public_schools.csv,2025-11-30 19:58:12
141.0,Baldwin Bldg,121 Corey Road,Brighton,2135,4621.0,4621.0,Baldwin ELPA,Baldwin ELPA,ELC,,,POINT (-71.140510000999939 42.342030001000069),-71.14051000099994,42.34203000100007,public_schools.csv,2025-11-30 19:58:12
142.0,Jackson Mann Bldg,40 Armington Street,Allston,2134,4610.0,4610.0,Horace Mann,Horace Mann K-12,Special,Shared,,POINT (-71.137699999999938 42.352050000000077),-71.13769999999994,42.35205000000008,public_schools.csv,2025-11-30 19:58:12
142.0,Jackson Mann Bldg,40 Armington Street,Allston,2134,4620.0,4620.0,Jackson/Mann K-8,Jackson/Mann K-8,K-8,Shared,,POINT (-71.137699999999938 42.352050000000077),-71.13769999999994,42.35205000000008,public_schools.csv,2025-11-30 19:58:12
89.0,Hyde Park EC,655 Metropolitan Ave,Hyde Park,2136,1285.0,1285.0,New Mission High,New Mission HS,HS,Shared,,POINT (-71.117723226999942 42.263208411000051),-71.11772322699994,42.26320841100005,public_schools.csv,2025-11-30 19:58:12
144.0,Gardner Bldg,30 Athol Street,Allston,2134,4160.0,4160.0,Gardner Elementary,Gardner,K-8,,,POINT (-71.134110000999954 42.360760000000028),-71.13411000099995,42.360760000000035,public_schools.csv,2025-11-30 19:58:12
145.0,Ohrenberger Bldg,175 West Boundary Road,West Roxbury,2132,4410.0,4410.0,Ohrenberger Elementary,Ohrenberger 3-8,K-8,,,POINT (-71.149609998999949 42.260750001000076),-71.14960999899995,42.26075000100008,public_schools.csv,2025-11-30 19:58:12
146.0,Everett Bldg,71 Pleasant Street,Dorchester,2125,4140.0,4140.0,Everett Elementary,Everett,ES,,,POINT (-71.05976917199996 42.313678947000028),-71.05976917199996,42.313678947000035,public_schools.csv,2025-11-30 19:58:12
148.0,"Shaw, P.A. Bldg",429 Norfolk Street,Dorchester,2124,4670.0,4670.0,P.A. Shaw,P.A. Shaw,ES,,,POINT (-71.086839729999951 42.282112287000075),-71.08683972999995,42.282112287000075,public_schools.csv,2025-11-30 19:58:12
149.0,"Greenwood, S Bldg",189 Glenway Street,Dorchester,2121,4130.0,4130.0,Greenwood Sarah K-8,S. Greenwood K-8,K-8,,,POINT (-71.080661422999981 42.296551453000063),-71.08066142299998,42.29655145300006,public_schools.csv,2025-11-30 19:58:12
150.0,Burke High School Bldg,60 Washington Street,Dorchester,2121,1120.0,1120.0,Burke High,Burke HS,HS,,,POINT (-71.081624640999962 42.306810098000028),-71.08162464099996,42.306810098000035,public_schools.csv,2025-11-30 19:58:12
152.0,Dever Bldg,325 Mt. Vernon Street,Dorchester,2125,4100.0,4100.0,Dever Elementary,Dever,ES,,,POINT (-71.042739999999981 42.317620000000034),-71.04273999999998,42.31762000000003,public_schools.csv,2025-11-30 19:58:12
153.0,Mccormack Bldg,315 Mt. Vernon Street,Dorchester,2125,2190.0,2190.0,McCormack Middle,McCormack MS,MS,,,POINT (-71.043499998999948 42.318020000000047),-71.04349999899995,42.31802000000005,public_schools.csv,2025-11-30 19:58:12
156.0,Condon Bldg,200 D Street,South Boston,2127,4630.0,4630.0,Condon Elementary,Condon K-8,K-8,,,POINT (-71.052150634999975 42.338017224000055),-71.05215063499998,42.338017224000055,public_schools.csv,2025-11-30 19:58:12
998.0,New Roosevelt Bldg,30 Millstone Road,Hyde Park,2136,4193.0,4193.0,Roosevelt K-8 (K1-1),Roosevelt K-8 (Lower),K-8,,,POINT (-71.132879999999943 42.233890000000031),-71.13287999999994,42.23389000000003,public_schools.csv,2025-11-30 19:58:12
2.0,Bradley Bldg,110 Beachview Road,East Boston,2128,4062.0,4062.0,Bradley Elementary,Bradley,ES,,,POINT (-71.005044500999986 42.391607498000042),-71.00504450099999,42.39160749800004,public_schools.csv,2025-11-30 19:58:12
111.0,Hennigan Bldg,200 Heath Street,Jamaica Plain,2130,4230.0,4230.0,Hennigan K-8,Hennigan K-8,K-8,Shared,,POINT (-71.106910085999971 42.325613458000078),-71.10691008599997,42.32561345800008,public_schools.csv,2025-11-30 19:58:12
76.0,Mattapan Eec Bldg,108 Babson Street,Mattapan,2126,4440.0,4440.0,Ellison/ Parks ELC,Ellison/ Parks ELC,ELC,,,POINT (-71.091890000999967 42.271779999000046),-71.09189000099997,42.271779999000046,public_schools.csv,2025-11-30 19:58:12
106.0,Greater Egleston High,80 School Street,Roxbury,2119,1430.0,1430.0,Greater Egleston High,Greater Egleston HS,HS,,,POINT (-71.099290000999986 42.314120000000059),-71.09929000099999,42.31412000000006,public_schools.csv,2025-11-30 19:58:12
72.0,Dorchester Ed. Bldg #1 - Main,9 Peacevale Road,Dorchester,2124,1459.0,1459.0,TechBoston Acad Lower (6-9),TechBoston Lower (6-9),6/7-12,Shared,,POINT (-71.076790862999985 42.287783495000042),-71.07679086299999,42.28778349500004,public_schools.csv,2025-11-30 19:58:12
123.0,Agassiz Building,20 Child St,Jamaica Plain,2130,4285.0,4285.0,Mission Hill K-8,Mission Hill K-8,K-8,Shared,,POINT (-71.113866835999943 42.307026492000034),-71.11386683599994,42.307026492000034,public_schools.csv,2025-11-30 19:58:12
123.0,Agassiz Building,20 Child St,Jamaica Plain,2130,1053.0,1053.0,Margarita Muniz Academy,Muniz Academy,HS,Shared,,POINT (-71.114481578999971 42.30719963100006),-71.11448157899997,42.30719963100007,public_schools.csv,2025-11-30 19:58:12
30.0,Emerson Building,6 Shirley St,Roxbury,2119,4123.0,4123.0,Dudley Street Neighborhood Charter School,Dudley St NCS,ES,,,POINT (-71.073373068999956 42.321918807000031),-71.07337306899996,42.32191880700003,public_schools.csv,2025-11-30 19:58:12
114.0,Farragut Building,10 Fenwood Road,Jamaica Plain,2115,1440.0,1440.0,Kennedy Health Careers Academy,Kennedy HCA,HS,,,POINT (-71.106563059999985 42.333922759000075),-71.10656305999998,42.333922759000075,public_schools.csv,2025-11-30 19:58:12
89.0,Hyde Park EC,655 Metropolitan Ave,Hyde Park,2136,1195.0,1195.0,Community Leadership Academy,BCLA,HS,Shared,,POINT (-71.117885460999958 42.263219244000027),-71.11788546099996,42.26321924400003,public_schools.csv,2025-11-30 19:58:12
1000.0,585 Commercial Bldg,585 Commercial Street,Boston,2109,4381.0,4381.0,Eliot K-8,Eliot K-8,K-8,,,POINT (-71.057175579999978 42.368326551000052),-71.05717557999998,42.368326551000045,public_schools.csv,2025-11-30 19:58:12
52.0,Higginson Bldg,160 Harrishof Street,Roxbury,2119,4241.0,4241.0,Higginson Elementary,Higginson (K-2),ES,,,POINT (-71.092028970999934 42.317651525000031),-71.09202897099993,42.31765152500003,public_schools.csv,2025-11-30 19:58:12
0.0,Alighieri Bldg,37 Gove St.,East Boston,2128,4321.0,4321.0,Alighieri Montessori,Alighieri,ES,,,POINT (-71.037939496999968 42.371559760000025),-71.03793949699997,42.371559760000025,public_schools.csv,2025-11-30 19:58:12
0.0,Church Street Bldg,20 Church Street,Boston,2116,1215.0,1215.0,Boston Adult Tech Acad,BATA,Special,,,POINT (-71.068148942999983 42.348761039000067),-71.06814894299998,42.34876103900007,public_schools.csv,2025-11-30 19:58:12
65.0,Cleveland Bldg,11 Charles Street,Dorchester,2122,1064.0,1064.0,Dorchester Academy,Dorchester Academy,HS,Shared,,POINT (-71.061820573999967 42.300812669000038),-71.06182057399997,42.30081266900004,public_schools.csv,2025-11-30 19:58:12
139.0,Taft Bldg,20 Warren Street,Brighton,2135,1470.0,1470.0,Boston Green Academy,Boston Green Academy,6/7-12,Shared,,POINT (-71.145960439999953 42.350432056000045),-71.14596043999995,42.350432056000045,public_schools.csv,2025-11-30 19:58:12
150.0,Burke High School Bldg,60 Washington Street,Dorchester,2121,1260.0,1260.0,Dearborn Middle School,Dearborn MS,6/7-12,Shared,,POINT (-71.080807110999956 42.307386505000068),-71.08080711099996,42.30738650500006,public_schools.csv,2025-11-30 19:58:12
