SITE_NAME,OWNERSHIP,PROTECTION,TYPECODE,DISTRICT,ACRES,ADDRESS,ZonAgg,TypeLong,OS_Own_Jur,OS_Mngmnt,POS,PA,ALT_NAME,AgncyJuris,PARK_ID,REGION,OS_ID,F_100ftRule,ZipCode,ParcelNumber,YearAcquired,STArea__,STLength__,Shape_Length,Shape_Area,shape_wkt
Boston Nature Center,Private,"Land Trust,Agrmnt",6,Mattapan,58.527660330000003,500 Walk Hill Street,Industrial District,Urban Wilds,Mass Audubon Society,,X,X,,,,INFO_Reallocation From Dept,7189,YES,"02126, 02131","1405198010,1405198200,1405198250,1405198300",0,,,0.038891905626899,0.000025855509839,
Cunningham Park,City of Boston,A97,1,Allston-Brighton,0.179690490000000,725 Cambridge Street,Open Space District,"Malls, Squares & Plazas",BPRD,BPRD,X,X,Sparhawk Square,BPRD,075,PARK_Maintenance_Region 4,75,YES,02135,2202327000,1897,,,0.001465140932583,0.000000079457678,"MULTIPOLYGON (((-71.14740739399997 42.350171571000033, -71.147820528999944 42.350272222000058, -71.148013705999972 42.349934628000028, -71.14740739399997 42.350171571000033)))"
McLean Playground,City of Boston,A97,3,East Boston,0.427045170000000,550 Bennington Street,Open Space District,"Parks, Playgrounds & Athletic Fields",BPRD,BPRD,X,X,,BPRD,195,PARK_Maintenance_Region 1,195,YES,02128,0100797000,1917,,,0.001762923102363,0.000000188931525,"MULTIPOLYGON (((-71.018908317999944 42.382583312000065, -71.01899065899994 42.382705826000063, -71.019155506999937 42.382951127000069, -71.019566153999961 42.382797592000031, -71.019400918999963 42.382552295000039, -71.019318390999956 42.382429777000027, -71.018908317999944 42.382583312000065)))"
Navy Fuel Pier Airport Edge Buffer,Massport,Ch91/WPA,3,East Boston,1.090601580000000,325 Marginal Street,Waterfront Service,"Parks, Playgrounds & Athletic Fields",Massport,Massport,N,X,,Massport,,INFO_Reallocation From Dept,4094,NO,02128,,0,,,0.004876322557802,0.000000482351737,
Fidelis Way Park,City of Boston,A97/LWCF/FLP,3,Allston-Brighton,4.717047510000000,19P Jette Court,Open Space District,"Parks, Playgrounds & Athletic Fields",BPRD,BPRD,X,X,Overlook Park,BPRD,117,PARK_Maintenance_Region 4,117,YES,02135,2101830100,1972,,,0.008743018689175,0.000002085765443,
Harambee Park,City of Boston,A97/LWCF/UPARR/USH/CPA,3,Dorchester,44.743503560000001,930 Blue Hill Avenue,Residential District,"Parks, Playgrounds & Athletic Fields",BPRD,BPRD,X,X,Franklin Field,BPRD,142,PARK_Maintenance_Region 2,142,YES,02124,1402863000,1892,,,0.021372705236725,0.000019767263757,
St Mary's Cemetery,Private, ,4,Dorchester,10.501865240000001,Bernard Street,Open Space District,Cemeteries & Burying Grounds,Private,NULL,N,,,,,INFO_Reallocation From Dept,7190,NO,02124,,0,,,0.009509117084776,0.000004639495364,
VFW Parkway I,Commonwealth of Massachusetts,A97,2,West Roxbury,12.441485849999999, ,Commercial/Office/Business District,"Parkways, Reservations & Beaches",DCR,DCR,X,X,,,,INFO_Reallocation From Dept,3107,YES,"02132, 02467",,0,,,0.111688501846302,0.000005496228435,
VFW Parkway II,City of Boston,A97,3,West Roxbury,0.646524180000000, ,Open Space District,"Parks, Playgrounds & Athletic Fields",BPRD,BPRD,X,X,,BPRD,343,PARK_Maintenance_Region 4,343,YES,02132,ROW,0,,,0.002812101802875,0.000000285649494,
Carroll Pond Playground,City of Boston,A97/WPA,3,West Roxbury,0.468812340000000,15 Carrolton Road,Residential District,"Parks, Playgrounds & Athletic Fields",BPRD,BPRD,X,X,,BPRD,042,PARK_Maintenance_Region 4,42,YES,02132,2011625000,1921,,,0.001856891313362,0.000000207002187,"MULTIPOLYGON (((-71.15941844699995 42.256348512000045, -71.159573542999965 42.256480074000081, -71.159797390999984 42.256664159000024, -71.159923184999968 42.256575286000043, -71.160034554999982 42.256496834000075, -71.160157272999982 42.25641051000008, -71.159776489999956 42.256103146000044, -71.15941844699995 42.256348512000045)))"
